artist,track,added_at,source,has_spotify,in_playlist
Só Pra Contrariar,Mineirinho,2026-03-05T00:00:00Z,https://www.letras.mus.br/so-pra-contrariar/107402/significado.html,True,True
Teodoro e Sampaio,Roela do Eno,2026-03-05T00:00:00Z,"https://www.terra.com.br/diversao/musica/relembre-artistas-que-cantaram-musicas-de-duplo-sentido,87fe24f4d865a310VgnCLD200000bbcceb0aRCRD.html",True,True
Teodoro e Sampaio,Só Dou Carona pra Quem Deu Pra Mim,2026-03-05T00:00:00Z,https://esquinamusical.com.br/sucessos-das-musicas-de-duplo-sentido-no-brasil/,True,True
Trio da Huana,Academia,2026-03-05T00:00:00Z,https://www.letras.mus.br/trio-da-huana/,False,
Trio da Huana,Coca-Cola Espumante,2026-03-05T00:00:00Z,https://www.letras.mus.br/trio-da-huana/,False,
Trio da Huana,Cozinhar o Ovo,2026-03-05T00:00:00Z,https://www.letras.mus.br/trio-da-huana/1008675/,False,
Trio da Huana,Cozinheiro,2026-03-05T00:00:00Z,https://open.spotify.com/intl-pt/track/1oBXWU3b0NCFjJ1qO9mXts,False,
Trio da Huana,Fuleragem,2026-03-05T00:00:00Z,https://www.letras.mus.br/trio-da-huana/,False,
Trio da Huana,Kika Na Latinha,2026-03-05T00:00:00Z,https://www.letras.mus.br/trio-da-huana/,False,
Zenilton,Bacalhau à Portuguesa,2026-03-05T00:00:00Z,https://forrozeirospe.com.br/noticia/749681/zenilton-dominou-as-paradas-com-a-sua-musica-de-duplo-sentido,True,True
Zenilton,O Cachimbo da Mulher,2026-03-05T00:00:00Z,https://forrozeirospe.com.br/noticia/749681/zenilton-dominou-as-paradas-com-a-sua-musica-de-duplo-sentido,True,True
É o Tchan,Na Boquinha da Garrafa,2026-03-05T00:00:00Z,https://www.letras.mus.br/blog/musicas-com-duplo-sentido/,True,True
É o Tchan,Segure o Tchan,2026-03-05T00:00:00Z,https://ibahia.com/entretenimento/detalhe/noticia/relembre-dez-musicas-cheias-de-duplo-sentido-que-voce-cantava,True,True
